OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
129943925,413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,YES,NO,,,NO,4,19,398788.249336,137304.801171,
129943926,414,Mount Vernon Ave & Bruce St,31912,38.841291,-77.063093,YES,NO,,,NO,10,4,394522.565535,130390.05783,
129943927,415,Lee Center,31914,38.797557,-77.053766,YES,NO,,,NO,8,7,395329.431957,125534.780976,
129943928,416,Powhatan St & Bashford Ln,31915,38.818748,-77.047783,YES,NO,,,NO,13,2,395850.397007,127886.826785,
129943929,417,Potomac & Swann Ave,31916,38.829545,-77.047844,YES,NO,,,NO,16,3,395845.727755,129085.367713,
129943930,418,14th & Irving St NW,31124,38.928552,-77.032224,YES,NO,,,NO,3,27,397205.884569,140075.303738,
129943931,419,16th & K St NW,31291,38.90268,-77.035737,YES,NO,,,NO,2,18,396900.15105,137203.409791,
129943932,420,Wisconsin Ave & Brandywine St NW,31319,38.949813,-77.080217,YES,NO,,,NO,3,22,393046.527326,142438.024222,
129943933,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,YES,NO,,,NO,11,8,402435.076237,138307.708792,
129943934,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,YES,NO,,,NO,8,7,406427.346087,136620.066096,
129943935,423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,YES,NO,,,NO,10,12,401530.877148,133652.367887,
129943936,424,Spring Hill Metro,32200,38.929261,-77.240654,YES,NO,,,NO,8,7,379133.329064,140181.01998,
129943937,425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,YES,NO,,,NO,5,6,379539.26899,139599.272546,
129943938,426,Solutions & Greensboro Dr,32202,38.923116,-77.232108,YES,NO,,,NO,5,6,379872.601154,139496.955901,
129943939,429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,YES,NO,,,NO,8,3,381125.469369,139640.512169,
129943940,430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,YES,NO,,,NO,7,6,380988.980027,140470.519376,
129943941,431,Westpark & Park Run Dr,32207,38.928919,-77.225394,YES,NO,,,NO,4,7,380456.399412,140139.677621,
129943942,432,Tysons West Transit Center,32208,38.932636,-77.231825,YES,NO,,,NO,5,6,379899.825354,140553.691849,
129943943,434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,YES,NO,,,NO,7,8,368634.819597,143908.178687,
129943944,435,Reston Regional Library,32211,38.962095,-77.358815,YES,NO,,,NO,7,8,368902.173933,143859.499939,
129943945,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,YES,NO,,,NO,9,6,369117.404104,143689.810457,
129943946,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,YES,NO,,,NO,9,6,369520.234533,143078.248144,
129943947,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,,,NO,9,8,368821.700515,143298.327458,
129943948,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,,,NO,0,17,399482.463435,135230.875721,
129943949,440,Reston Station,32215,38.948363,-77.338119,YES,NO,,,NO,21,14,370690.2031,142328.285669,
129943950,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,,,NO,10,9,368907.513324,143586.171975,
129943951,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,,,NO,9,12,395753.698344,136067.330845,
129943952,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,,,NO,10,9,407498.739678,135999.141568,
129943953,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,,,NO,7,8,369369.401914,143634.435896,
129943954,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,,,NO,8,7,368067.039744,143110.066782,
129943955,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,,,NO,5,6,380279.374348,139492.268806,
